From Date,To Date,PM2.5,PM10,NO,NO2,NOx,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,Temp,RH,WS,WD,SR,BP,VWS,TOT-RF,RF,CH4,Xylene,AT
25-02-2020 00:00,26-02-2020 00:00,39.47,108.86,23.83,117.82,141.61,14.5,2.65,48.27,1.65,NaN,NaN,NaN,29.64,43.33,0.36,143.03,146.96,766.78,0.89,0,0,NaN,NaN,NaN
26-02-2020 00:00,27-02-2020 00:00,32.89,111.56,14,89.81,103.88,13.44,2.25,60.7,1.42,NaN,NaN,NaN,30.25,39,0.44,146.87,128.73,767.32,0.87,0,0,NaN,NaN,NaN
27-02-2020 00:00,28-02-2020 00:00,37.11,104.72,17.19,129.92,146.62,13.8,2.47,74.88,0.68,NaN,NaN,NaN,29.81,39.84,0.2,151.42,131.1,767.31,0.86,0,0,NaN,NaN,NaN
28-02-2020 00:00,29-02-2020 00:00,53.12,162.27,37.73,185.13,216.86,15.76,3.04,71.54,4.68,NaN,NaN,NaN,28.51,52.06,0.1,158.38,97.67,766.45,0.89,0,0,NaN,NaN,NaN
29-02-2020 00:00,1/3/2020 0:00,48.61,135.17,27.56,132.11,159.68,15.65,2.76,30.27,13.86,NaN,NaN,NaN,28.34,61.74,0.14,83.57,130.7,765.96,0.88,0,0,NaN,NaN,NaN
1/3/2020 0:00,2/3/2020 0:00,24.97,68.71,10.12,36.64,46.77,13.95,1.91,14.6,3.49,NaN,NaN,NaN,28.47,70.61,0.14,70.44,196.65,767.01,0.87,0,0,NaN,NaN,NaN
2/3/2020 0:00,3/3/2020 0:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
3/3/2020 0:00,4/3/2020 0:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
4/3/2020 0:00,5/3/2020 0:00,22.87,75.46,17.21,49.4,26.67,14.97,1.58,17.36,5.09,NaN,NaN,NaN,28.78,66.24,0.21,160.19,254.69,767.83,0.91,0,0,NaN,NaN,NaN
5/3/2020 0:00,6/3/2020 0:00,23.79,76.82,12.48,52.3,64.79,15.99,1.55,20.9,7.39,NaN,NaN,NaN,27.16,71.12,0.09,215.46,112.98,767.4,0.74,0,0,NaN,NaN,NaN
6/3/2020 0:00,7/3/2020 0:00,17.46,62.94,7.8,32.02,39.79,14.82,1.4,29.42,4.06,NaN,NaN,NaN,28.03,64.33,0.09,250.08,118.69,766.96,0.68,0,0,NaN,NaN,NaN
7/3/2020 0:00,8/3/2020 0:00,24.35,97.77,9.21,35.47,44.67,15.62,1.61,18.29,4.48,NaN,NaN,NaN,26.96,63.59,0.12,99.48,146.56,768.52,0.66,0,0,NaN,NaN,NaN
8/3/2020 0:00,9/3/2020 0:00,22.99,85.18,13.77,58.22,72.06,16.63,1.87,27.96,7.99,NaN,NaN,NaN,25.77,64.77,0.1,141.98,87.17,768.33,0.73,0,0,NaN,NaN,NaN
9/3/2020 0:00,10/3/2020 0:00,25.88,93.22,10.82,53,63.83,15.39,1.9,25.66,9.04,NaN,NaN,NaN,26.53,70.66,0.11,141.59,151.83,767.93,0.71,0,0,NaN,NaN,NaN
10/3/2020 0:00,11/3/2020 0:00,19.61,66.54,8.66,44.89,53.56,15.96,2.03,28.24,9.19,NaN,NaN,NaN,27.52,69.95,0.08,137.03,119.13,767.72,0.6,0,0,NaN,NaN,NaN
11/3/2020 0:00,12/3/2020 0:00,14.75,45.46,7.42,31.83,39.27,15.11,1.63,28.72,3.35,NaN,NaN,NaN,26.89,62.79,0.1,106.81,113.63,768.28,0.62,0,0,NaN,NaN,NaN
12/3/2020 0:00,13-03-2020 00:00,18.41,55.84,10.47,40.8,51.29,14.44,1.66,20,3.91,NaN,NaN,NaN,26.41,61.81,0.14,106.61,118.84,769.2,0.69,0,0,NaN,NaN,NaN
13-03-2020 00:00,14-03-2020 00:00,23.84,77.67,10.84,46.66,57.52,13.41,1.69,23.62,5.05,NaN,NaN,NaN,26.13,55.24,0.26,81.42,213.96,769.88,0.67,0,0,NaN,NaN,NaN
14-03-2020 00:00,15-03-2020 00:00,25.2,97.23,11.03,55.1,66.15,13.45,1.8,33.44,7.48,NaN,NaN,NaN,27.05,51.67,0.16,102.98,164.88,767.92,0.67,0,0,NaN,NaN,NaN
15-03-2020 00:00,16-03-2020 00:00,39.84,148.85,20.36,95.16,115.53,15.68,2.34,47.46,18.72,NaN,NaN,NaN,28.82,48.43,0.1,123.28,221.44,766.97,0.78,0,0,NaN,NaN,NaN
16-03-2020 00:00,17-03-2020 00:00,47.84,154.77,19.83,124.98,144.74,17.56,2.71,54.27,22.62,NaN,NaN,NaN,30.7,45.66,0.14,144.39,218.96,767.58,0.78,0,0,NaN,NaN,NaN
17-03-2020 00:00,18-03-2020 00:00,55.22,151.83,32.8,132.93,165.67,20.46,2.88,49.49,31.06,NaN,NaN,NaN,30.77,52.49,0.12,134.04,197.91,767.79,0.74,0,0,NaN,NaN,NaN
18-03-2020 00:00,19-03-2020 00:00,33.5,106.55,12,88.53,100.53,19.82,1.61,59.3,14.92,NaN,NaN,NaN,29.93,56.63,0.08,168.13,196.92,768.25,0.75,0,0,NaN,NaN,NaN
19-03-2020 00:00,20-03-2020 00:00,24.03,66.42,10.32,67.15,77.47,19.33,1.21,38.62,9.45,NaN,NaN,NaN,28.56,66.43,0.08,159.34,245.85,768.6,0.75,0,0,NaN,NaN,NaN
20-03-2020 00:00,21-03-2020 00:00,13.21,35.77,6.45,25.18,31.63,19.64,0.96,35.16,3.11,NaN,NaN,NaN,29.46,63.11,0.06,67.06,258.93,768.27,0.6,0,0,NaN,NaN,NaN
21-03-2020 00:00,22-03-2020 00:00,17,46.81,8.35,34.51,42.83,20.61,1.02,32.23,4.7,NaN,NaN,NaN,28.38,70.79,0.1,166.51,225.73,768.28,0.67,0,0,NaN,NaN,NaN
22-03-2020 00:00,23-03-2020 00:00,13.95,60.03,7.05,25.65,32.71,20.5,0.94,35.5,2.68,NaN,NaN,NaN,28.88,74.17,0.12,88.5,206.55,767.9,0.68,0,0,NaN,NaN,NaN
23-03-2020 00:00,24-03-2020 00:00,14.48,53.95,7.02,26.27,33.29,21.77,0.96,33.28,2.92,NaN,NaN,NaN,30.06,72.01,0.07,87.52,183.31,766.85,0.66,0,0,NaN,NaN,NaN
24-03-2020 00:00,25-03-2020 00:00,21.74,83.37,7.09,29.02,36.11,22,0.99,40.85,5.76,NaN,NaN,NaN,30.41,71.27,0.09,110.85,224.88,765.47,0.7,0,0,NaN,NaN,NaN
25-03-2020 00:00,26-03-2020 00:00,21.25,70.48,6.74,23.17,29.92,23.42,1.05,33.66,7.28,NaN,NaN,NaN,30.83,74.66,0.1,253.87,199.6,765.26,0.69,0,0,NaN,NaN,NaN
26-03-2020 00:00,27-03-2020 00:00,15.47,64.66,7.18,24.17,31.35,22.74,0.99,36.01,9.83,NaN,NaN,NaN,30.64,75.59,0.08,216.55,166.86,765.87,0.75,0,0,NaN,NaN,NaN
27-03-2020 00:00,28-03-2020 00:00,14.99,52.96,6.79,17.07,23.86,25.15,0.93,22.29,4.2,NaN,NaN,NaN,30.44,72.15,0.08,67.88,190.48,767.74,0.68,0,0,NaN,NaN,NaN
28-03-2020 00:00,29-03-2020 00:00,14.18,48.87,7.43,21.56,29.01,24.11,1,26.89,6.11,NaN,NaN,NaN,30.53,59.71,0.12,87.42,192.84,767.43,0.66,0,0,NaN,NaN,NaN
29-03-2020 00:00,30-03-2020 00:00,14.8,53.3,6.33,15.68,22.01,23.87,0.94,25.86,3.91,NaN,NaN,NaN,30.6,59.02,0.08,110.93,212.1,766.23,0.59,0,0,NaN,NaN,NaN
30-03-2020 00:00,31-03-2020 00:00,17.26,55.88,6.25,16.16,22.41,23.86,0.95,27.21,3.82,NaN,NaN,NaN,30.22,64.31,0.09,66.86,177.88,766.56,0.67,0,0,NaN,NaN,NaN
31-03-2020 00:00,1/4/2020 0:00,16.83,74.98,6.28,13.2,19.49,21.86,0.99,16.12,3.82,NaN,NaN,NaN,29.18,73.69,0.09,101.04,154.47,767.21,0.68,0,0,NaN,NaN,NaN
1/4/2020 0:00,2/4/2020 0:00,18.1,61.58,6.18,10.61,16.79,23.16,0.92,9.18,3.05,NaN,NaN,NaN,29.65,71.96,0.1,94.73,179.49,766.83,0.64,0,0,NaN,NaN,NaN
2/4/2020 0:00,3/4/2020 0:00,18.23,69.85,5.74,9.65,15.4,23.39,0.94,9.45,3.75,NaN,NaN,NaN,30.6,72.07,0.11,101.36,206.64,765.69,0.63,0,0,NaN,NaN,NaN
3/4/2020 0:00,4/4/2020 0:00,18.02,71.08,5.79,9.71,15.5,24.91,0.93,7.47,2.51,NaN,NaN,NaN,30.63,73.53,0.09,146.55,204.45,766,0.64,0,0,NaN,NaN,NaN
4/4/2020 0:00,5/4/2020 0:00,16.44,69.72,6.09,9.58,15.68,22.35,0.94,5.73,2.7,NaN,NaN,NaN,30.49,76.3,0.15,115.39,215.34,766.41,0.63,0,0,NaN,NaN,NaN
5/4/2020 0:00,6/4/2020 0:00,17.89,81.38,6.91,11.4,18.32,20.68,0.95,6.23,4.24,NaN,NaN,NaN,30.38,78.53,0.08,198.27,213.87,767,0.63,0,0,NaN,NaN,NaN
6/4/2020 0:00,7/4/2020 0:00,12.94,55.32,4.9,5.12,10.02,23.3,0.9,1.44,5.63,NaN,NaN,NaN,30.4,78.61,0.11,232.6,220.84,767.96,0.6,0,0,NaN,NaN,NaN
7/4/2020 0:00,8/4/2020 0:00,18.85,79.4,5,5,10.01,25.45,0.89,0.94,4.03,NaN,NaN,NaN,29.77,77.84,0.09,236.21,228.75,767.23,0.65,0,0,NaN,NaN,NaN
8/4/2020 0:00,9/4/2020 0:00,22.15,78.57,5.15,4.81,9.97,24.94,0.9,0.14,6.37,NaN,NaN,NaN,29.74,74.44,0.1,189.77,220.84,768.21,0.6,0,0,NaN,NaN,NaN
9/4/2020 0:00,10/4/2020 0:00,21.97,68.69,5.39,4.47,9.86,24.79,0.9,0.24,2.68,NaN,NaN,NaN,29.71,74.29,0.1,162.56,219.53,767.59,0.57,0,0,NaN,NaN,NaN
10/4/2020 0:00,11/4/2020 0:00,18.62,66.32,4.95,4.46,9.42,22.95,0.89,0.1,1.91,NaN,NaN,NaN,30.45,75.91,0.07,141.46,213.64,767.1,0.56,0,0,NaN,NaN,NaN
11/4/2020 0:00,12/4/2020 0:00,17.2,78.08,4.8,4.25,9.06,23.04,0.9,0.21,2.13,NaN,NaN,NaN,31.36,74.04,0.08,169.8,208.14,767.5,0.68,0,0,NaN,NaN,NaN
12/4/2020 0:00,13-04-2020 00:00,18.32,82.76,4.85,4.45,9.3,24.81,0.92,0.24,6.45,NaN,NaN,NaN,31.25,79.11,0.08,271.66,199.85,766.96,0.63,0,0,NaN,NaN,NaN
13-04-2020 00:00,14-04-2020 00:00,19.14,88.75,4.92,5.18,10.11,23.03,0.92,0.32,6.07,NaN,NaN,NaN,31.41,78.69,0.07,263.02,199.56,766.1,0.59,0,0,NaN,NaN,NaN
14-04-2020 00:00,15-04-2020 00:00,21.46,79.84,4.83,4.36,9.19,23.48,0.93,0.29,3.58,NaN,NaN,NaN,32.16,74.14,0.08,216.17,204.29,765.91,0.59,0,0,NaN,NaN,NaN
15-04-2020 00:00,16-04-2020 00:00,17.37,73.84,4.82,4.01,8.83,25.55,0.94,0.11,3.81,NaN,NaN,NaN,31.86,75.54,0.09,236.3,198.67,766.73,0.65,0,0,NaN,NaN,NaN
16-04-2020 00:00,17-04-2020 00:00,15.18,49.8,4.67,3.59,8.26,22.83,0.9,0.05,4.14,NaN,NaN,NaN,31.82,76.94,0.17,264.02,204.54,766.26,0.6,0,0,NaN,NaN,NaN
17-04-2020 00:00,18-04-2020 00:00,16.28,49.82,5.14,3.94,9.08,23.78,0.91,0.09,5.46,NaN,NaN,NaN,31.25,79,0.07,252.2,186.46,766.23,0.67,0,0,NaN,NaN,NaN
18-04-2020 00:00,19-04-2020 00:00,14.01,56.42,4.95,3.56,8.51,20.83,0.89,0.03,2.83,NaN,NaN,NaN,32.12,74.37,0.08,204.66,204.08,766.19,0.57,0,0,NaN,NaN,NaN
19-04-2020 00:00,20-04-2020 00:00,15.15,62.06,4.67,3.23,7.9,23.18,0.88,NaN,3.35,NaN,NaN,NaN,32.64,73.2,0.11,189.83,203.63,765.89,0.49,0,0,NaN,NaN,NaN
20-04-2020 00:00,21-04-2020 00:00,17.39,81.93,4.84,3.45,8.29,23.72,0.96,0.07,3.39,NaN,NaN,NaN,33.87,61.66,0.08,114.05,219.77,765.18,0.53,0,0,NaN,NaN,NaN
21-04-2020 00:00,22-04-2020 00:00,18.2,51.14,4.98,3.9,8.88,23.4,0.92,0.05,2.03,NaN,NaN,NaN,32.04,68.86,0.08,192.98,235.79,766.02,0.59,0,0,NaN,NaN,NaN
22-04-2020 00:00,23-04-2020 00:00,21.24,54.04,5.13,2.96,8.09,27.2,0.9,NaN,2.49,NaN,NaN,NaN,31.83,74.7,0.09,167.34,224.07,765.72,0.59,0,0,NaN,NaN,NaN
23-04-2020 00:00,24-04-2020 00:00,26.7,57.18,NaN,NaN,NaN,31.75,1.13,NaN,3.67,NaN,NaN,NaN,31.78,76.1,0.09,218.06,247.64,766.2,0.63,0,0,NaN,NaN,NaN
24-04-2020 00:00,25-04-2020 00:00,51.72,62.67,NaN,NaN,NaN,39.58,1.14,NaN,2.77,NaN,NaN,NaN,32.55,73.68,0.08,173.97,226.39,765.56,0.59,0,0,NaN,NaN,NaN
25-04-2020 00:00,26-04-2020 00:00,47.14,73.12,NaN,NaN,NaN,53.86,1.1,NaN,2.2,NaN,NaN,NaN,32.06,70.64,0.08,207.12,223.52,766.43,0.59,0,0,NaN,NaN,NaN
26-04-2020 00:00,27-04-2020 00:00,44.11,67.32,NaN,NaN,NaN,61.04,1.08,NaN,3.41,NaN,NaN,NaN,31.43,72.34,0.13,162.46,242.6,766.64,0.55,0,0,NaN,NaN,NaN
27-04-2020 00:00,28-04-2020 00:00,44.29,65.07,NaN,NaN,NaN,64.77,1.07,NaN,2.34,NaN,NaN,NaN,31.68,71.11,0.07,213.57,207.78,767.56,0.56,0,0,NaN,NaN,NaN
28-04-2020 00:00,29-04-2020 00:00,43.36,58.74,NaN,NaN,NaN,63.15,1.09,NaN,2.02,NaN,NaN,NaN,32.33,73.28,0.06,114.88,242.02,766.34,0.47,0,0,NaN,NaN,NaN
29-04-2020 00:00,30-04-2020 00:00,47.69,58.95,NaN,NaN,NaN,66.02,1.07,NaN,2.26,NaN,NaN,NaN,32.52,75.25,0.08,188.84,233.09,766.04,0.67,0,0,NaN,NaN,NaN
30-04-2020 00:00,1/5/2020 0:00,52.39,72.45,NaN,NaN,NaN,66.53,1.02,NaN,2.06,NaN,NaN,NaN,32.54,74.45,0.06,294.09,209.43,766.89,0.58,0,0,NaN,NaN,NaN
1/5/2020 0:00,2/5/2020 0:00,48.64,74.98,NaN,NaN,NaN,66.34,0.99,NaN,2.08,NaN,NaN,NaN,32.49,73.74,0.27,181.08,200.45,767.11,0.55,0,0,NaN,NaN,NaN
2/5/2020 0:00,3/5/2020 0:00,45.06,69.73,NaN,NaN,NaN,67.45,0.96,NaN,1.75,NaN,NaN,NaN,32.24,74.41,0.06,188.55,202.54,765.9,0.55,0,0,NaN,NaN,NaN
3/5/2020 0:00,4/5/2020 0:00,43.44,64.63,NaN,NaN,NaN,72.25,0.96,NaN,1.23,NaN,NaN,NaN,32.42,74.81,0.05,130.45,217.32,765.88,0.5,0,0,NaN,NaN,NaN
4/5/2020 0:00,5/5/2020 0:00,45.13,61.52,NaN,NaN,NaN,71.79,0.99,NaN,1.53,NaN,NaN,NaN,32.39,73.78,0.07,172.27,244.64,766.17,0.54,0,0,NaN,NaN,NaN
5/5/2020 0:00,6/5/2020 0:00,43.17,66.25,NaN,NaN,NaN,80.15,0.89,NaN,1.23,NaN,NaN,NaN,33.78,70.68,0.06,175.4,534.43,766.77,0.52,0,0,NaN,NaN,NaN
6/5/2020 0:00,7/5/2020 0:00,44.16,64.34,NaN,NaN,NaN,87.48,0.85,NaN,0.69,NaN,NaN,NaN,31.26,79.24,0.08,157.94,47.07,765.06,0.77,0,0,NaN,NaN,NaN
7/5/2020 0:00,8/5/2020 0:00,51.26,71.64,NaN,NaN,NaN,73.19,0.94,NaN,1.22,NaN,NaN,NaN,32.63,73.97,0.07,203.92,279.77,765.65,0.52,0,0,NaN,NaN,NaN
8/5/2020 0:00,9/5/2020 0:00,50.31,88.63,NaN,NaN,NaN,71.98,0.89,NaN,1.32,NaN,NaN,NaN,32.13,72.92,0.07,195.6,225.59,765.8,0.56,0,0,NaN,NaN,NaN
9/5/2020 0:00,10/5/2020 0:00,44.96,80.51,NaN,NaN,NaN,81.31,0.84,NaN,1.48,NaN,NaN,NaN,32.3,73.4,0.06,143.51,219.94,765.9,0.56,0,0,NaN,NaN,NaN
10/5/2020 0:00,11/5/2020 0:00,47.26,64.8,NaN,NaN,NaN,91.54,0.83,NaN,0.91,NaN,NaN,NaN,32.36,74.47,0.06,142.03,216.31,765.55,0.56,0,0,NaN,NaN,NaN
11/5/2020 0:00,12/5/2020 0:00,47.13,64.68,NaN,NaN,NaN,65.37,1.04,NaN,1.33,NaN,NaN,NaN,31.54,76.25,0.07,137.53,135.9,766.46,0.68,0,0,NaN,NaN,NaN
12/5/2020 0:00,13-05-2020 00:00,44.1,57.91,NaN,NaN,NaN,76.05,0.89,NaN,0.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN
13-05-2020 00:00,14-05-2020 00:00,51.83,66.93,NaN,NaN,NaN,82.41,0.83,NaN,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN
14-05-2020 00:00,15-05-2020 00:00,50.89,76,NaN,NaN,NaN,28.45,0.69,12.26,1.44,NaN,NaN,NaN,33.61,71.45,0.07,172.21,220.29,764.08,0.53,0,0,NaN,NaN,NaN
15-05-2020 00:00,16-05-2020 00:00,61.35,105.48,NaN,NaN,NaN,24.63,0.63,10.72,1.51,NaN,NaN,NaN,32.89,71.72,0.06,124.73,180.16,764.46,0.53,0,0,NaN,NaN,NaN
16-05-2020 00:00,17-05-2020 00:00,68.19,124.51,NaN,NaN,NaN,19.4,0.69,11.21,1.01,NaN,NaN,NaN,32.84,74.08,0.1,157.17,185.89,764.4,0.52,0,0,NaN,NaN,NaN
17-05-2020 00:00,18-05-2020 00:00,62.51,103.01,NaN,NaN,NaN,24.11,0.63,10.59,0.78,NaN,NaN,NaN,32.74,72.42,0.06,143.92,199.06,764.09,0.51,0,0,NaN,NaN,NaN
18-05-2020 00:00,19-05-2020 00:00,58.62,101.9,18.8,3.76,17.51,25.23,0.56,10.28,0.2,NaN,NaN,NaN,32.49,71.91,0.07,128.48,185.28,763.59,0.45,0,0,NaN,NaN,NaN
19-05-2020 00:00,20-05-2020 00:00,61.39,118.84,10.51,7.25,12.78,24.61,0.56,10.35,0.13,NaN,NaN,NaN,32.37,70.51,0.07,126.78,211.24,763.38,0.61,0,0,NaN,NaN,NaN
20-05-2020 00:00,21-05-2020 00:00,72.57,124.92,11.43,8.49,14.76,26.3,0.55,10.35,0.21,NaN,NaN,NaN,32.08,71.13,0.09,204.21,220.76,763.19,0.85,0,0,NaN,NaN,NaN
21-05-2020 00:00,22-05-2020 00:00,86.62,127.77,12.68,8,16.27,27.66,0.56,10.25,0.33,NaN,NaN,NaN,32.6,71.83,0.09,178.92,209.18,764.39,0.89,0,0,NaN,NaN,NaN
22-05-2020 00:00,23-05-2020 00:00,60.77,115.58,17.18,7.18,15.64,27.08,0.55,10.14,0.23,NaN,NaN,NaN,32.76,72.05,0.18,174.95,221.32,765.2,0.87,0,0,NaN,NaN,NaN
23-05-2020 00:00,24-05-2020 00:00,64.92,119.4,19.03,5.48,23.47,21.93,0.55,9.91,0.67,NaN,NaN,NaN,32.63,74.05,0.23,181.49,221.79,764.96,0.86,0,0,NaN,NaN,NaN
24-05-2020 00:00,25-05-2020 00:00,60.82,113.58,11.69,4.34,15,21.06,0.51,9.97,0.07,NaN,NaN,NaN,32.55,76.1,0.12,142.07,190.51,765.41,0.86,0,0,NaN,NaN,NaN
25-05-2020 00:00,26-05-2020 00:00,48.79,125.4,10.88,12.01,13.99,24.33,0.51,10,0,NaN,NaN,NaN,32.66,76.91,0.09,111.38,168.93,765.72,0.83,0,0,NaN,NaN,NaN
26-05-2020 00:00,27-05-2020 00:00,63.42,119.35,12.2,3.35,15.55,25.17,0.48,9.73,0,NaN,NaN,NaN,32.87,75.71,0.95,192.86,220.62,765.85,0.86,0,0,NaN,NaN,NaN
27-05-2020 00:00,28-05-2020 00:00,47.65,103.79,5.21,2.28,7.49,14.98,0.51,10.15,0.01,NaN,NaN,NaN,32.74,73.71,0.11,202.4,211.67,765.57,0.89,0,0,NaN,NaN,NaN
28-05-2020 00:00,29-05-2020 00:00,69.03,120.33,8.17,2.37,10.55,19.88,0.63,10.91,0.01,NaN,NaN,NaN,33.2,71.7,0.18,171.87,202.1,764.87,0.86,0,0,NaN,NaN,NaN
29-05-2020 00:00,30-05-2020 00:00,6.2,25.6,4.83,1.98,6.82,NaN,0.7,11.36,0.04,NaN,NaN,NaN,33.21,73.66,0.15,183.85,200.93,764.64,0.82,0,0,NaN,NaN,NaN
30-05-2020 00:00,31-05-2020 00:00,28.8,65.94,3.31,1.38,4.7,NaN,1.17,11.61,3.58,NaN,NaN,NaN,33.43,73.87,0.14,125.19,164.85,764.75,0.86,0,0,NaN,NaN,NaN
31-05-2020 00:00,1/6/2020 0:00,15.98,48.24,2.57,1.08,3.66,NaN,1.21,11.68,5.19,NaN,NaN,NaN,33.89,70.3,0.22,206.59,210.42,764.94,0.85,0,0,NaN,NaN,NaN
1/6/2020 0:00,2/6/2020 0:00,9.61,34.12,2.62,1.09,3.72,NaN,0.96,11.68,4.29,NaN,NaN,NaN,32.01,78.64,0.1,351.88,15,765.57,0.87,0,0,NaN,NaN,NaN
2/6/2020 0:00,3/6/2020 0:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
3/6/2020 0:00,4/6/2020 0:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
4/6/2020 0:00,5/6/2020 0:00,8.67,55.33,2.75,1.11,3.87,NaN,0.97,11.54,0.97,NaN,NaN,NaN,25.14,99.12,0.29,148.83,56.09,764.72,0.89,0,0,NaN,NaN,NaN
5/6/2020 0:00,6/6/2020 0:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
6/6/2020 0:00,7/6/2020 0:00,9.15,38.69,2.85,1.14,3.99,9.25,0.95,11.57,0.45,NaN,NaN,NaN,31.19,79.78,0.19,221.41,306.24,763.78,0.89,0,0,NaN,NaN,NaN
7/6/2020 0:00,8/6/2020 0:00,9.06,30.32,2.89,1.14,4.04,9.45,0.93,11.59,0.31,NaN,NaN,NaN,31.06,75.36,0.21,221.75,242.62,763.5,0.88,0,0,NaN,NaN,NaN
8/6/2020 0:00,9/6/2020 0:00,8.93,33.47,2.93,1.14,4.08,8.71,0.98,11.51,0.9,NaN,NaN,NaN,28.64,79.94,0.25,207.3,193.75,764.33,0.87,0,0,NaN,NaN,NaN
9/6/2020 0:00,10/6/2020 0:00,8.3,26.97,2.95,1.15,4.11,9.33,0.95,11.52,0.5,NaN,NaN,NaN,30.47,79.99,0.33,239.07,234.29,706.23,0.9,2,0.02,NaN,NaN,NaN
10/6/2020 0:00,11/6/2020 0:00,9.07,33.31,2.98,1.14,4.12,9.17,0.94,11.5,1.05,NaN,NaN,NaN,31.38,79.84,0.13,219.59,252.63,708.24,0.88,11.5,0.13,NaN,NaN,NaN
11/6/2020 0:00,12/6/2020 0:00,8.44,32.74,2.97,1.14,4.12,4.14,0.94,11.5,0.29,NaN,NaN,NaN,30.45,83.34,0.18,213.99,173.06,709.06,0.89,13,0.14,NaN,NaN,NaN
12/6/2020 0:00,13-06-2020 00:00,9.43,29.9,2.97,1.14,4.12,0.08,1.01,11.49,1.61,NaN,NaN,NaN,30.62,81.04,0.27,233.95,148.16,706.81,0.89,0,0,NaN,NaN,NaN
13-06-2020 00:00,14-06-2020 00:00,7.47,25.17,3,1.15,4.15,0.12,0.98,11.49,1.61,NaN,NaN,NaN,30.41,82.79,0.24,234.56,171.23,708.71,0.88,0,0,NaN,NaN,NaN
14-06-2020 00:00,15-06-2020 00:00,8.67,27.57,3.03,1.15,4.18,0.07,1,11.45,1.31,NaN,NaN,NaN,30.56,84.11,0.21,215.47,187.46,713.93,0.89,0,0,NaN,NaN,NaN
15-06-2020 00:00,16-06-2020 00:00,7.56,34.43,3.03,1.15,4.19,0.07,1,11.46,2.97,NaN,NaN,NaN,30.32,86.9,0.22,190.96,139.08,715.65,0.9,6,0.06,NaN,NaN,NaN
16-06-2020 00:00,17-06-2020 00:00,7.25,28.01,3.04,1.16,4.2,0.06,1.03,11.47,2.18,NaN,NaN,NaN,29.72,88.7,0.27,235.14,147.41,717.06,0.89,42,0.45,NaN,NaN,NaN
17-06-2020 00:00,18-06-2020 00:00,10.6,23.66,3.03,1.17,4.21,0.08,1.06,11.46,3.19,NaN,NaN,NaN,30.22,81.99,0.38,209.21,124.79,716.18,0.89,0,0,NaN,NaN,NaN
18-06-2020 00:00,19-06-2020 00:00,8.96,39,3.07,1.15,4.22,0.1,1.14,11.43,3.78,NaN,NaN,NaN,28.49,91.95,0.13,208.29,62.66,717.07,0.89,58,0.62,NaN,NaN,NaN
19-06-2020 00:00,20-06-2020 00:00,14.27,58.33,3.09,1.15,4.24,0.07,1.11,11.42,3.85,NaN,NaN,NaN,30.38,88.27,0.12,242.52,197.96,721.08,0.89,0,0,NaN,NaN,NaN
20-06-2020 00:00,21-06-2020 00:00,10.4,45.29,3.09,1.18,4.27,0.09,0.94,11.44,0.01,NaN,NaN,NaN,31.34,82.15,0.12,253.96,235.08,722.62,0.9,0,0,NaN,NaN,NaN
21-06-2020 00:00,22-06-2020 00:00,9.29,43.91,3.11,1.17,4.28,0.05,0.93,11.43,0.65,NaN,NaN,NaN,31.14,81.83,0.17,274.03,204.54,721.36,0.91,1,0.01,NaN,NaN,NaN
22-06-2020 00:00,23-06-2020 00:00,11.83,53.06,3.13,1.15,4.29,0.06,1.01,11.47,2.18,NaN,NaN,NaN,30.52,85.05,0.17,247.15,258.22,721.25,0.9,9,0.1,NaN,NaN,NaN
23-06-2020 00:00,24-06-2020 00:00,10.1,35.47,3.14,1.16,4.31,0.05,1.06,11.5,1.67,NaN,NaN,NaN,30.1,81.74,0.59,222.9,181.31,721.65,0.92,0,0,NaN,NaN,NaN
24-06-2020 00:00,25-06-2020 00:00,8.64,28.94,3.15,1.17,4.33,0.05,1.02,11.51,2.58,NaN,NaN,NaN,31.09,77.89,0.23,251.52,199.98,720.69,0.93,0,0,NaN,NaN,NaN
25-06-2020 00:00,26-06-2020 00:00,10.86,36.63,3.16,1.18,4.35,0.08,1.03,11.5,3,NaN,NaN,NaN,31.58,80.43,0.1,194.34,244.5,718.17,0.92,0,0,NaN,NaN,NaN
